skill,filter_type,skill_subsuper,freqcy_2015,freqcy_2016,freqcy_2017
budgets,subsuper,"annual budgets,construction budgets,controlling budgets,operating budgets,managing project budgets",1578,954,618
buying,subsuper,"media buying,programmatic buying,programmatic media buying",361,411,248
campaign,subsuper,"campaign development,campaign execution,campaign management,campaign monitor,campaign optimization,campaign planning,campaign plans,campaign strategies,marketing campaign management,online campaign management,post campaign analysis",828,690,397
cell,subsuper,"cell biology,cell culture,cell phones,cell signaling,cell sorting,cell therapy,bacterial cell culture,cell based assays,live cell imaging,mammalian cell culture,stem cell research,stem cell technology",284,596,208
certifications,subsuper,iso certifications,257,3164,2207
certified,subsuper,"acta certified,apple certified,ccna certified,ccnp certified,certified arborist,certified pmp,certified trainer,cisco certified,ibm certified,istqb certified,itil certified,pmp certified,certified energy manager,certified ethical hacker,certified financial planner,certified internal auditor,certified project manager,certified public accountant,certified scrum master,microsoft certified professional,microsoft certified technology",320,3957,2060
certified ethical hacker,subsuper,"certified,acta certified,apple certified,ccna certified,ccnp certified,certified arborist,certified pmp,certified trainer,cisco certified,ethical hacker,ethical hacker,ethical hacking,ethical leadership,ibm certified,istqb certified,itil certified,pmp certified,certified energy manager,certified financial planner,certified internal auditor,certified project manager,certified public accountant,certified scrum master,ethical decision making,microsoft certified professional,microsoft certified technology",1,5,7
certified financial planner,subsuper,"certified,acta certified,apple certified,ccna certified,ccnp certified,certified arborist,certified pmp,certified trainer,cisco certified,financial accounting,financial advice,financial advisory,financial analysis,financial applications,financial audit,financial audits,financial calculations,financial communications,financial control,financial controlling,financial crime,financial data,financial economics,financial education,financial engineering,financial forecasting,financial futures,financial goals,financial inclusion,financial institutions,financial instruments,financial investigation,financial law,financial management,financial markets,financial modeling,financial modelling,financial operations,financial planners,financial planning,financial projection,financial regulation,financial reporting,financial research,financial risk,financial sector,financial services,financial statements,financial strategy,financial structuring,financial systems,financial technology,financial transactions,ibm certified,istqb certified,itil certified,oracle financial,peoplesoft financial,pmp certified,sap financial,certified energy manager,certified ethical hacker,certified internal auditor,certified project manager,certified public accountant,certified scrum master,consolidated financial statements,corporate financial reporting,financial analysis software,financial due diligence,financial management experience,financial management services,financial risk management,financial statement analysis,financial statement auditing,financial variance analysis,group financial reporting,hyperion financial management,hyperion financial reporting,international financial institutions,it financial management,microsoft certified professional,microsoft certified technology,personal financial planning,strategic financial planning",0,8,3
certified internal auditor,subsuper,"certified,acta certified,apple certified,ccna certified,ccnp certified,certified arborist,certified pmp,certified trainer,cisco certified,ibm certified,internal audit,internal communications,internal compliance,internal control,internal controls,internal investigations,internal marketing,internal medicine,internal resourcing,iso auditor,istqb certified,itil certified,lead auditor,pmp certified,certified energy manager,certified ethical hacker,certified financial planner,certified project manager,certified public accountant,certified scrum master,internal control implementation,microsoft certified professional,microsoft certified technology",1,55,40
certified project manager,subsuper,"certified,acta certified,apple certified,ccna certified,ccnp certified,certified arborist,certified pmp,certified trainer,cisco certified,ibm certified,istqb certified,itil certified,manager selection,microsoft project,ms project,pmp certified,project accounting,project administration,project analysis,project appraisal,project assurance,project bidding,project cargo,project communications,project control,project controls,project coordination,project cost,project costing,project delivery,project design,project development,project documentation,project engineering,project estimation,project evaluation,project execution,project facilitation,project finance,project financing,project governance,project implementation,project initiation,project leadership,project management,project manager,project manager,project managers,project managment,project mangement,project marketing,project planning,project plans,project purchasing,project resourcing,project risk,project rollouts,project sales,project scheduling,project server,project sponsorship,project staffing,project support,project tracking,project work,sales manager,site manager,adobe experience manager,agile project management,avaya communication manager,capital project planning,certified energy manager,certified energy manager,certified ethical hacker,certified financial planner,certified internal auditor,certified public accountant,certified scrum master,cisco call manager,construction project management,data protection manager,digital project management,fire safety manager,green mark manager,hp service manager,hr project management,ibm content manager,it project implementation,it project management,managing project budgets,microsoft certified professional,microsoft certified technology,oracle access manager,oracle enterprise manager,oracle identity manager,oracle project accounting,project cost control,project management office,project management plan,project management professional,project management software,project management tools,project planning software,project portfolio management,project risk management,project scheduling software,project scope development,project status reporting,project team management,research project management,sap project management,sap solution manager,ship repair manager,software project management,solaris volume manager,technical project management,tivoli access manager,tivoli identity manager,veritas volume manager",1,12,12
certified public accountant,subsuper,"certified,acta certified,apple certified,ccna certified,ccnp certified,certified arborist,certified pmp,certified trainer,chartered accountant,cisco certified,ibm certified,istqb certified,itil certified,notary public,pmp certified,public address,public administration,public affairs,public companies,public diplomacy,public education,public engagement,public finance,public health,public law,public lectures,public liability,public libraries,public management,public outreach,public policy,public procurement,public relations,public safety,public sector,public seminars,public services,public space,public speaking,public transport,certified energy manager,certified ethical hacker,certified financial planner,certified internal auditor,certified project manager,certified scrum master,microsoft certified professional,microsoft certified technology,public address systems,public key infrastructure,public relations skills",1,84,64
certified scrum master,subsuper,"certified,scrum,acta certified,agile scrum,apple certified,ccna certified,ccnp certified,certified arborist,certified pmp,certified trainer,cisco certified,ibm certified,istqb certified,itil certified,master control,master data,master mariner,master plan,master planning,master scheduling,pmp certified,scrum master,scrum master,certified energy manager,certified ethical hacker,certified financial planner,certified internal auditor,certified project manager,certified public accountant,master black belt,master data management,master of ceremonies,microsoft certified professional,microsoft certified technology",3,41,35
change,subsuper,"behavior change,behavioural change,change communication,change communications,change control,change leadership,change management,change orders,change programmes,change requests,climate change,culture change,lead change,leading change,organisation change,organizational change,business change management,change impact analysis,engineering change management,management of change",2844,5881,3088
change communication,subsuper,"change,behavior change,behavioural change,brand communication,business communication,change communications,change control,change leadership,change management,change orders,change programmes,change requests,client communication,climate change,communication design,communication development,communication disorders,communication marketing,communication protocols,communication skill,communication skills,communication strategy,communication systems,communication theory,communication training,culture change,customer communication,digital communication,effective communication,graphic communication,health communication,intercultural communication,interpersonal communication,lead change,leading change,marketing communication,mass communication,oral communication,organisation change,organizational change,organizational communication,professional communication,radio communication,science communication,technical communication,visual communication,written communication,avaya communication manager,business change management,change impact analysis,engineering change management,good communication skills,interpersonal communication skills,management of change,wireless communication systems",5,3,3
change leadership,subsuper,"change,leadership,behavior change,behavioural change,business leadership,change communication,change communications,change control,change management,change orders,change programmes,change requests,climate change,culture change,design leadership,educational leadership,ethical leadership,executive leadership,global leadership,group leadership,inspiring leadership,interpersonal leadership,it leadership,lead change,leadership assessment,leadership development,leadership initiatives,leadership management,leadership mentoring,leadership skill,leadership skills,leadership training,leading change,marketing leadership,organisation change,organisational leadership,organizational change,organizational leadership,people leadership,personnel leadership,project leadership,safety leadership,sales leadership,servant leadership,strategic leadership,student leadership,team leadership,technical leadership,technology leadership,thought leadership,training leadership,transformational leadership,business change management,change impact analysis,engineering change management,global hr leadership,leadership and management,leadership development coaching,management of change,proven leadership skills,senior executive leadership",9,22,7
leading change,subsuper,"change,behavior change,behavioural change,change communication,change communications,change control,change leadership,change management,change orders,change programmes,change requests,climate change,culture change,lead change,leading people,leading projects,organisation change,organizational change,business change management,change impact analysis,engineering change management,leading development teams,leading large teams,management of change",13,37,27
organisation change,subsuper,"change,organisation,behavior change,behavioural change,change communication,change communications,change control,change leadership,change management,change orders,change programmes,change requests,climate change,culture change,events organisation,lead change,leading change,organisation development,organizational change,team organisation,business change management,change impact analysis,engineering change management,management of change",1,2,1
organizational change,subsuper,"change,behavior change,behavioural change,change communication,change communications,change control,change leadership,change management,change orders,change programmes,change requests,climate change,culture change,lead change,leading change,organisation change,organizational behavior,organizational capability,organizational communication,organizational culture,organizational design,organizational development,organizational diagnosis,organizational effectiveness,organizational leadership,organizational learning,organizational management,organizational psychology,organizational skills,organizational structure,business change management,change impact analysis,engineering change management,management of change",38,62,54
management of change,subsuper,"change,3pl management,access management,account management,accounting management,administrative management,advertising management,affiliate management,aircraft management,airport management,airway management,alarm management,application management,architecture management,artist management,arts management,asset management,association management,attendance management,audit management,availability management,bandwidth management,bank management,bar management,behavior change,behavior management,behavioural change,benefits management,bid management,bim management,bom management,branch management,brand management,budget management,building management,business management,cable management,cafeteria management,campaign management,campus management,candidate management,capacity management,capital management,career management,case management,cash management,catalog management,category management,change communication,change communications,change control,change leadership,change management,change management,change orders,change programmes,change requests,channel management,channels management,claims management,classroom management,client management,climate change,clinic management,cluster management,collateral management,collections management,color management,commercial management,commissioning management,commodity management,communications management,community management,company management,competency management,complaint management,compliance management,conference management,configuration management,conflict management,construction management,contact management,content management,contingency management,contract management,contractor management,contracts management,corporate management,cost management,course management,creative management,credit management,crisis management,culinary management,cultural management,culture change,customer management,data management,database management,datacenter management,dealer management,debt management,defect management,delegate management,delivery management,demand management,department management,design management,desktop management,destination management,development management,deviation management,diary management,disaster management,disease management,distribution management,distributor management,dns management,document management,domain management,donor management,education management,educational management,email management,emergency management,employee management,ems management,energy management,engagement management,engineering management,environment management,environmental management,equipment management,escalation management,estate management,event management,events management,executive management,expatriate management,expectations management,expense management,facilities management,facility management,fault management,feedback management,file management,finance management,financial management,firewall management,fleet management,fraud management,fuel management,fulfillment management,fund management,funds management,general management,global management,grant management,growth management,headcount management,healthcare management,hospitality management,hotel management,hr management,identity management,incident management,information management,infrastructure management,innovation management,integrity management,interface management,interim management,international management,inventory management,investment management,ip management,issue management,issues management,it management,key management,knowledge management,kol management,lab management,labor management,laboratory management,landscape management,lead change,lead management,leadership management,leading change,lean management,learning management,lease management,leave management,library management,license management,lifestyle management,line management,liquidity management,litigation management,log management,logistics management,maintenance management,man management,management accounting,management coaching,management consultancy,management consulting,management contracts,management control,management development,management marketing,management principles,management reporting,management review,management science,management skills,management system,manpower management,manufacturing management,marketing management,material management,materials management,matrix management,media management,membership management,memory management,metadata management,middle management,mobility management,money management,move management,mro management,network management,npi management,office management,offshore management,operation management,operational management,operations management,order management,organisation change,organizational change,organizational management,output management,outsourcing management,pain management,partner management,partnership management,patch management,payroll management,people management,performance management,personnel management,pipeline management,plant management,port management,portfolio management,power management,practice management,print management,priority management,problem management,process management,procurement management,product management,production management,profitability management,program management,programme management,project management,property management,proposal management,public management,purchase management,purchasing management,quality management,queue management,records management,regional management,relation management,relationship management,release management,remote management,reputation management,requirements management,research management,resource management,restaurant management,retail management,retention management,revenue management,risk management,roi management,safety management,sales management,sample management,scheduling management,scope management,scorecard management,security management,self management,senior management,server management,service management,ship management,site management,space management,speaker management,spectrum management,spend management,sponsorship management,sports management,staff management,stage management,stakeholder management,stock management,storage management,store management,strata management,strategic management,strategy management,stress management,subcontracts management,supervisory management,supplier management,supply management,support management,systems management,talent management,tape management,task management,team management,technical management,technology management,telecommunications management,tenancy management,tender management,territory management,test management,thermal management,time management,tourism management,traffic management,training management,transaction management,transition management,translation management,transportation management,travel management,treasury management,trial management,trust management,turf management,user management,utilities management,utilization management,value management,vendor management,venue management,vessel management,visitor management,visual management,volunteer management,vulnerability management,warehouse management,waste management,water management,wealth management,webinar management,website management,weight management,workflow management,workforce management,yard management,yield management,access control management,access management software,agile project management,air traffic management,application lifecycle management,application management services,application performance management,application portfolio management,asset liability management,asset management software,balance sheet management,bank relationship management,basics of unix,battery management systems,bill of lading,bill of materials,board of directors,building management systems,business change management,business change management,business continuity management,business management software,business operations management,business performance management,business process management,business relationship management,business risk management,business service management,case management services,case management software,cash flow management,center of excellence,change impact analysis,channel account management,client relationship management,clinical data management,clinical trial management,code of conduct,code of ethics,cold chain management,commodity risk management,community of practice,configuration management software,conflict of interest,construction project management,content management system,corporate website management,cost center management,cost reduction management,credit portfolio management,credit risk management,customer escalation management,customer experience management,customer lifecycle management,customer relations management,customer relationship management,customer service management,daily operations management,data center management,data centre management,data management software,database management software,database management system,database management systems,department budget management,design of experiment,design of experiments,development of employees,development of people,development of sales,development of strategy,digital asset management,digital project management,earned value management,ehs management systems,engineering change management,engineering change management,enterprise account management,enterprise asset management,enterprise content management,enterprise risk management,environmental management systems,expense budget management,file management systems,financial management experience,financial management services,financial risk management,fire safety management,fixed asset management,fleet management software,fleet management systems,food cost management,foreign exchange management,fraud risk management,fund of funds,global account management,global asset management,global business management,global cash management,global trade management,global travel management,hazardous waste management,hr project management,hse management systems,human capital management,human resource management,human resources management,hyperion financial management,information security management,inspection management system,integrated management systems,integrated pest management,intellectual asset management,intellectual property management,internet of things,it asset management,it business management,it financial management,it infrastructure management,it operations management,it project management,it relationship management,it risk management,it service management,key account management,leadership and management,learning management systems,letter of credit,letters of credit,mailing list management,maintenance management software,major incident management,management due diligence,manufacturing operations management,market risk management,marketing budget management,marketing campaign management,master data management,master of ceremonies,media asset management,medical case management,mentoring of staff,meter data management,ministry of defence,mobile device management,network management applications,network management software,network performance management,online business management,online campaign management,online community management,online reputation management,operational risk management,oracle order management,organization of events,partner relationship management,patch management software,patient management software,philosophy of mind,point of purchase,powers of attorney,preparation of reports,private wealth management,process safety management,product lifecycle management,program management skills,project management office,project management plan,project management professional,project management software,project management tools,project portfolio management,project risk management,project team management,proof of concept,property management systems,quality management system,quality management systems,records management systems,remote infrastructure management,research project management,risk management software,risk management systems,rule of law,safety management systems,sales pipeline management,sap material management,sap project management,sap warehouse management,security event management,security patch management,segregation of duties,senior management communications,senior stakeholder management,sense of responsibility,service delivery management,service desk management,service level management,social media management,software asset management,software configuration management,software licensing management,software lifecycle management,software project management,software quality management,storage management software,supplier quality management,supplier relationship management,supplier risk management,supply chain management,technical product management,technical project management,technology risk management,territory account management,test management tool,time management system,total quality management,value chain management,vendor management experience,vendor management skills,vendor relationship management,warehouse management system,wealth management services,web content management,working capital management",51,20,12
